0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"1.8,0.76,0.62","2.8,0.74,0.51","1.8,0.87,0.52","1.8,0.76,0.49","3.5,0.76,0.57","3.1,0.88,0.58","2.3,0.82,0.5","1.3,0.7,0.47","3.9,0.73,0.57","1.1,0.87,0.59","1.9,0.89,0.78","2.4,0.74,0.57","3.3,0.72,0.79","3.1,0.71,0.68","1.8,0.7,0.47","2.8,0.82,0.53","2.8,0.89,0.57","1.9,0.71,0.72","3.4,0.84,0.56","2.4,0.71,0.59"
"3.6,0.87,0.51","1.8,0.81,0.46","2.6,0.88,0.48","2.4,0.88,0.68","3.0,0.74,0.77","1.9,0.76,0.59","1.6,0.83,0.5","2.0,0.87,0.71","4.0,0.87,0.56","1.5,0.72,0.76","2.7,0.84,0.77","1.0,0.81,0.52","3.7,0.79,0.77","2.3,0.8,0.61","1.8,0.88,0.59","3.4,0.77,0.6","2.7,0.83,0.7","2.9,0.7,0.68","3.0,0.72,0.63","2.0,0.87,0.78"
"2.7,0.88,0.68","3.8,0.7,0.71","2.0,0.81,0.7","2.5,0.74,0.55","2.5,0.84,0.63","2.8,0.89,0.55","2.5,0.85,0.66","1.5,0.84,0.7","3.2,0.77,0.72","1.4,0.81,0.8","3.4,0.75,0.61","3.2,0.71,0.68","1.2,0.86,0.65","1.8,0.87,0.78","3.2,0.75,0.51","3.6,0.7,0.62","3.8,0.71,0.6","3.5,0.71,0.63","1.2,0.73,0.79","1.3,0.71,0.49"
"2.2,0.75,0.52","2.3,0.74,0.72","3.1,0.78,0.61","3.7,0.76,0.64","1.1,0.82,0.59","2.1,0.89,0.53","3.5,0.89,0.62","3.4,0.74,0.48","3.9,0.77,0.52","2.7,0.8,0.54","1.9,0.75,0.63","1.4,0.85,0.56","1.1,0.71,0.58","3.2,0.73,0.63","1.9,0.81,0.61","2.8,0.82,0.76","2.0,0.76,0.77","2.5,0.74,0.66","3.7,0.75,0.55","1.8,0.75,0.7"
"2.4,0.81,0.48","1.3,0.71,0.72","2.9,0.76,0.68","1.3,0.84,0.55","1.8,0.81,0.52","1.6,0.84,0.62","1.1,0.82,0.76","1.2,0.73,0.48","3.6,0.78,0.71","1.1,0.83,0.65","3.6,0.87,0.58","2.3,0.7,0.68","1.8,0.82,0.64","2.6,0.73,0.51","3.0,0.77,0.54","3.2,0.83,0.74","3.0,0.79,0.79","2.0,0.86,0.65","3.7,0.87,0.5","1.7,0.82,0.58"
"4.0,0.8,0.77","3.7,0.71,0.61","2.6,0.78,0.59","1.3,0.82,0.75","2.5,0.81,0.73","1.1,0.85,0.51","2.8,0.76,0.74","3.5,0.8,0.57","1.9,0.79,0.66","1.3,0.9,0.53","2.6,0.82,0.73","2.1,0.87,0.52","1.8,0.76,0.61","2.8,0.78,0.66","1.3,0.82,0.54","2.3,0.8,0.67","4.0,0.82,0.55","1.5,0.83,0.68","1.5,0.84,0.54","2.8,0.8,0.79"
"2.7,0.8,0.77","3.9,0.71,0.7","3.5,0.8,0.62","2.6,0.83,0.5","2.6,0.76,0.62","1.2,0.77,0.49","1.3,0.89,0.63","1.9,0.83,0.76","3.3,0.83,0.64","1.1,0.75,0.6","1.2,0.76,0.64","2.5,0.89,0.46","3.6,0.73,0.48","4.0,0.83,0.73","2.0,0.74,0.77","2.1,0.71,0.73","1.3,0.82,0.66","1.4,0.78,0.58","2.6,0.77,0.62","3.8,0.78,0.58"
"1.8,0.87,0.66","2.5,0.78,0.64","2.6,0.76,0.66","3.1,0.86,0.58","1.9,0.86,0.59","2.9,0.83,0.62","1.7,0.89,0.52","2.8,0.82,0.48","2.1,0.82,0.75","1.9,0.75,0.57","2.3,0.76,0.61","2.0,0.77,0.71","1.5,0.75,0.7","1.4,0.78,0.47","3.6,0.83,0.49","1.6,0.72,0.55","1.6,0.87,0.75","1.1,0.74,0.54","1.7,0.88,0.61","3.7,0.8,0.59"
"1.8,0.81,0.76","2.0,0.8,0.48","2.9,0.79,0.67","3.3,0.76,0.66","3.9,0.76,0.73","1.4,0.73,0.48","1.9,0.83,0.55","3.9,0.71,0.46","1.8,0.79,0.68","2.2,0.83,0.8","1.2,0.76,0.49","1.9,0.76,0.51","1.1,0.87,0.71","3.8,0.9,0.67","1.7,0.71,0.69","1.4,0.71,0.72","1.9,0.77,0.56","3.6,0.77,0.46","2.1,0.82,0.53","1.7,0.78,0.55"
"1.5,0.83,0.52","3.8,0.84,0.67","1.2,0.75,0.65","1.4,0.77,0.49","1.5,0.77,0.47","1.9,0.76,0.53","3.3,0.8,0.7","3.9,0.83,0.74","3.2,0.89,0.48","1.6,0.73,0.72","2.0,0.75,0.72","2.9,0.72,0.47","3.6,0.88,0.57","2.0,0.8,0.68","3.6,0.89,0.8","2.6,0.82,0.55","2.1,0.74,0.79","3.2,0.8,0.47","3.2,0.81,0.47","1.8,0.72,0.59"
