sup_cap,sup_reli,sup_flex,pla_cap,pla_reli,pla_cost,dc_cap,dc_reli,dc_cost
25429,0.88,0.68,33326,0.86,11466,16211,0.93,8855
29815,0.93,0.7,17535,0.81,14164,21133,0.95,12918
31671,0.89,0.7,4118,0.94,7821,17963,0.84,10921
38164,0.95,0.79,2395,0.86,5638,3868,0.88,6250
10059,0.86,0.85,24009,0.88,5177,5194,0.91,9302
16372,0.94,0.62,10657,0.84,6773,3856,0.94,13760
13840,0.9,0.72,24576,0.85,5459,7421,0.91,13016
20839,0.87,0.75,8316,0.86,14040,32420,0.89,7185
35420,0.87,0.77,29175,0.89,12000,33045,0.87,11076
26256,0.87,0.66,34915,0.9,11311,22276,0.89,9816
32507,0.84,0.84,17725,0.88,12530,5493,0.85,8299
27349,0.86,0.68,2364,0.85,5773,4947,0.92,12784
5973,0.94,0.79,16975,0.89,9286,26783,0.89,10577
5449,0.86,0.78,36069,0.95,9123,21501,0.9,14615
29261,0.85,0.7,22362,0.84,8206,7660,0.92,6350
30857,0.84,0.65,31821,0.94,6811,7515,0.85,9390
14774,0.95,0.75,4029,0.95,13860,18791,0.84,13083
9443,0.92,0.71,37269,0.86,14515,15873,0.86,9565
37851,0.8,0.64,8543,0.89,14942,33042,0.94,7155
3954,0.83,0.77,33583,0.9,13133,21251,0.82,6877
33659,0.95,0.61,39187,0.92,9027,25265,0.87,14399
6328,0.88,0.62,20907,0.81,6737,21218,0.86,9780
39198,0.88,0.73,27769,0.92,13531,14480,0.83,10215
31527,0.87,0.6,31254,0.9,9146,7235,0.84,14769
30414,0.88,0.61,5960,0.86,14739,5705,0.91,9637
36347,0.88,0.82,22568,0.84,12806,2567,0.93,11122
25811,0.87,0.65,25357,0.94,13749,14812,0.92,11170
16295,0.91,0.83,17867,0.91,12833,4096,0.8,11844
6543,0.94,0.68,36237,0.84,5440,23566,0.88,5975
31643,0.87,0.66,12296,0.89,6363,34217,0.85,5475
18812,0.89,0.8,28839,0.81,14669,17053,0.89,6306
6539,0.89,0.75,39872,0.9,7871,18323,0.84,5483
34626,0.93,0.85,34311,0.89,7365,25607,0.84,7092
23476,0.89,0.85,33737,0.92,13488,20641,0.93,8730
35843,0.83,0.6,33209,0.88,7672,30307,0.81,14764
20317,0.86,0.84,8010,0.93,13717,28835,0.88,11478
11194,0.91,0.81,23032,0.93,10032,3945,0.86,8542
21216,0.87,0.76,24852,0.93,10322,19977,0.9,9426
16362,0.92,0.75,16224,0.86,13315,35155,0.94,13273
24320,0.85,0.77,29539,0.89,9877,22366,0.83,6554
37113,0.91,0.68,17891,0.83,10259,7243,0.92,9024
3147,0.92,0.8,22077,0.93,5217,38715,0.87,6123
19245,0.93,0.76,9300,0.82,11338,29872,0.85,6273
28772,0.87,0.66,31215,0.82,13491,14324,0.84,12477
36601,0.9,0.83,30636,0.9,9154,26748,0.92,14592
33202,0.87,0.83,21647,0.95,5908,35719,0.85,11162
18033,0.86,0.8,13224,0.88,7921,11270,0.92,6639
18463,0.92,0.75,35130,0.82,5958,19865,0.82,7142
13274,0.91,0.79,37638,0.88,10484,30275,0.9,14879
25732,0.92,0.64,38985,0.84,5101,18842,0.94,5135
28636,0.94,0.73,N/A,N/A,N/A,N/A,N/A,N/A
27286,0.81,0.63,N/A,N/A,N/A,N/A,N/A,N/A
13067,0.81,0.68,N/A,N/A,N/A,N/A,N/A,N/A
19718,0.85,0.71,N/A,N/A,N/A,N/A,N/A,N/A
35517,0.9,0.61,N/A,N/A,N/A,N/A,N/A,N/A
17428,0.85,0.68,N/A,N/A,N/A,N/A,N/A,N/A
25828,0.8,0.71,N/A,N/A,N/A,N/A,N/A,N/A
26700,0.94,0.8,N/A,N/A,N/A,N/A,N/A,N/A
28714,0.94,0.7,N/A,N/A,N/A,N/A,N/A,N/A
35095,0.82,0.68,N/A,N/A,N/A,N/A,N/A,N/A
33669,0.92,0.76,N/A,N/A,N/A,N/A,N/A,N/A
13910,0.94,0.75,N/A,N/A,N/A,N/A,N/A,N/A
21926,0.88,0.8,N/A,N/A,N/A,N/A,N/A,N/A
34947,0.9,0.74,N/A,N/A,N/A,N/A,N/A,N/A
28511,0.91,0.83,N/A,N/A,N/A,N/A,N/A,N/A
36087,0.89,0.66,N/A,N/A,N/A,N/A,N/A,N/A
7623,0.88,0.81,N/A,N/A,N/A,N/A,N/A,N/A
19564,0.87,0.76,N/A,N/A,N/A,N/A,N/A,N/A
32669,0.81,0.78,N/A,N/A,N/A,N/A,N/A,N/A
27201,0.83,0.79,N/A,N/A,N/A,N/A,N/A,N/A
31580,0.84,0.75,N/A,N/A,N/A,N/A,N/A,N/A
27004,0.88,0.65,N/A,N/A,N/A,N/A,N/A,N/A
34910,0.93,0.77,N/A,N/A,N/A,N/A,N/A,N/A
12177,0.81,0.61,N/A,N/A,N/A,N/A,N/A,N/A
17220,0.88,0.8,N/A,N/A,N/A,N/A,N/A,N/A
19265,0.84,0.7,N/A,N/A,N/A,N/A,N/A,N/A
8939,0.87,0.66,N/A,N/A,N/A,N/A,N/A,N/A
