sup_cap,sup_reli,sup_flex,pla_cap,pla_reli,pla_cost,dc_cap,dc_reli,dc_cost
29252,0.9,0.83,25645,0.82,8244,26413,0.94,6062
4981,0.94,0.82,30384,0.84,10295,28633,0.94,9637
38927,0.88,0.61,39758,0.82,9614,16907,0.81,11437
30348,0.86,0.65,14961,0.83,9339,33683,0.83,12468
23658,0.92,0.72,N/A,N/A,N/A,37569,0.81,14024
37767,0.82,0.78,N/A,N/A,N/A,13894,0.89,5406
24382,0.88,0.73,N/A,N/A,N/A,N/A,N/A,N/A
29390,0.91,0.64,N/A,N/A,N/A,N/A,N/A,N/A
6128,0.93,0.78,N/A,N/A,N/A,N/A,N/A,N/A
6354,0.87,0.7,N/A,N/A,N/A,N/A,N/A,N/A
32325,0.9,0.69,N/A,N/A,N/A,N/A,N/A,N/A
13099,0.88,0.65,N/A,N/A,N/A,N/A,N/A,N/A
11369,0.83,0.8,N/A,N/A,N/A,N/A,N/A,N/A
18469,0.82,0.83,N/A,N/A,N/A,N/A,N/A,N/A
28452,0.94,0.67,N/A,N/A,N/A,N/A,N/A,N/A
28102,0.92,0.61,N/A,N/A,N/A,N/A,N/A,N/A
11661,0.84,0.64,N/A,N/A,N/A,N/A,N/A,N/A
34497,0.91,0.83,N/A,N/A,N/A,N/A,N/A,N/A
14089,0.83,0.64,N/A,N/A,N/A,N/A,N/A,N/A
10033,0.95,0.63,N/A,N/A,N/A,N/A,N/A,N/A
15287,0.83,0.76,N/A,N/A,N/A,N/A,N/A,N/A
7708,0.89,0.7,N/A,N/A,N/A,N/A,N/A,N/A
28276,0.84,0.75,N/A,N/A,N/A,N/A,N/A,N/A
20266,0.9,0.72,N/A,N/A,N/A,N/A,N/A,N/A
2327,0.93,0.85,N/A,N/A,N/A,N/A,N/A,N/A
21063,0.91,0.65,N/A,N/A,N/A,N/A,N/A,N/A
9461,0.85,0.63,N/A,N/A,N/A,N/A,N/A,N/A
23389,0.84,0.64,N/A,N/A,N/A,N/A,N/A,N/A
38350,0.94,0.68,N/A,N/A,N/A,N/A,N/A,N/A
31488,0.8,0.69,N/A,N/A,N/A,N/A,N/A,N/A
2872,0.88,0.71,N/A,N/A,N/A,N/A,N/A,N/A
21350,0.8,0.81,N/A,N/A,N/A,N/A,N/A,N/A
17500,0.83,0.79,N/A,N/A,N/A,N/A,N/A,N/A
3779,0.81,0.73,N/A,N/A,N/A,N/A,N/A,N/A
38597,0.91,0.84,N/A,N/A,N/A,N/A,N/A,N/A
13469,0.92,0.72,N/A,N/A,N/A,N/A,N/A,N/A
13062,0.86,0.75,N/A,N/A,N/A,N/A,N/A,N/A
38374,0.94,0.71,N/A,N/A,N/A,N/A,N/A,N/A
34296,0.86,0.6,N/A,N/A,N/A,N/A,N/A,N/A
4910,0.88,0.7,N/A,N/A,N/A,N/A,N/A,N/A
31939,0.89,0.63,N/A,N/A,N/A,N/A,N/A,N/A
26714,0.87,0.77,N/A,N/A,N/A,N/A,N/A,N/A
6364,0.94,0.75,N/A,N/A,N/A,N/A,N/A,N/A
34454,0.94,0.81,N/A,N/A,N/A,N/A,N/A,N/A
14930,0.93,0.78,N/A,N/A,N/A,N/A,N/A,N/A
7487,0.95,0.68,N/A,N/A,N/A,N/A,N/A,N/A
27549,0.86,0.85,N/A,N/A,N/A,N/A,N/A,N/A
26131,0.83,0.79,N/A,N/A,N/A,N/A,N/A,N/A
2932,0.87,0.61,N/A,N/A,N/A,N/A,N/A,N/A
15217,0.93,0.79,N/A,N/A,N/A,N/A,N/A,N/A
27600,0.84,0.7,N/A,N/A,N/A,N/A,N/A,N/A
35882,0.83,0.72,N/A,N/A,N/A,N/A,N/A,N/A
18908,0.91,0.68,N/A,N/A,N/A,N/A,N/A,N/A
6855,0.91,0.6,N/A,N/A,N/A,N/A,N/A,N/A
3799,0.93,0.75,N/A,N/A,N/A,N/A,N/A,N/A
3620,0.84,0.64,N/A,N/A,N/A,N/A,N/A,N/A
20157,0.93,0.65,N/A,N/A,N/A,N/A,N/A,N/A
11931,0.91,0.72,N/A,N/A,N/A,N/A,N/A,N/A
37405,0.88,0.85,N/A,N/A,N/A,N/A,N/A,N/A
6822,0.86,0.64,N/A,N/A,N/A,N/A,N/A,N/A
18588,0.91,0.64,N/A,N/A,N/A,N/A,N/A,N/A
16053,0.82,0.82,N/A,N/A,N/A,N/A,N/A,N/A
21991,0.88,0.66,N/A,N/A,N/A,N/A,N/A,N/A
8564,0.8,0.74,N/A,N/A,N/A,N/A,N/A,N/A
26444,0.88,0.67,N/A,N/A,N/A,N/A,N/A,N/A
19451,0.87,0.81,N/A,N/A,N/A,N/A,N/A,N/A
8990,0.87,0.71,N/A,N/A,N/A,N/A,N/A,N/A
20569,0.84,0.83,N/A,N/A,N/A,N/A,N/A,N/A
10939,0.83,0.65,N/A,N/A,N/A,N/A,N/A,N/A
25062,0.81,0.73,N/A,N/A,N/A,N/A,N/A,N/A
23043,0.95,0.64,N/A,N/A,N/A,N/A,N/A,N/A
34981,0.93,0.64,N/A,N/A,N/A,N/A,N/A,N/A
4701,0.82,0.75,N/A,N/A,N/A,N/A,N/A,N/A
8269,0.83,0.85,N/A,N/A,N/A,N/A,N/A,N/A
21187,0.87,0.72,N/A,N/A,N/A,N/A,N/A,N/A
36413,0.92,0.73,N/A,N/A,N/A,N/A,N/A,N/A
17750,0.86,0.83,N/A,N/A,N/A,N/A,N/A,N/A
11844,0.93,0.82,N/A,N/A,N/A,N/A,N/A,N/A
22704,0.92,0.68,N/A,N/A,N/A,N/A,N/A,N/A
24197,0.95,0.69,N/A,N/A,N/A,N/A,N/A,N/A
