0,1,2,3
"2.1,0.71,0.49","2.4,0.83,0.61","2.2,0.9,0.76","1.0,0.82,0.78"
"2.0,0.81,0.63","3.5,0.76,0.71","2.1,0.74,0.73","3.2,0.71,0.76"
"1.7,0.85,0.55","1.6,0.88,0.73","3.0,0.78,0.54","3.3,0.73,0.64"
"2.0,0.75,0.47","3.1,0.77,0.79","1.7,0.7,0.76","3.4,0.74,0.58"
"1.5,0.8,0.77","1.9,0.73,0.78","3.2,0.85,0.48","3.8,0.8,0.66"
"1.3,0.71,0.63","3.7,0.74,0.6","3.0,0.8,0.71","2.2,0.81,0.53"
"1.3,0.9,0.74","3.2,0.7,0.5","3.4,0.7,0.68","2.2,0.85,0.59"
"2.9,0.77,0.65","2.5,0.88,0.64","1.3,0.7,0.73","2.6,0.75,0.73"
"3.1,0.82,0.7","3.2,0.85,0.61","1.6,0.85,0.7","2.0,0.87,0.51"
"2.5,0.8,0.56","2.2,0.72,0.53","2.9,0.82,0.55","2.6,0.9,0.59"
"1.7,0.76,0.51","3.7,0.86,0.52","2.8,0.81,0.53","2.7,0.81,0.6"
"2.9,0.79,0.69","2.9,0.8,0.62","4.0,0.86,0.54","2.0,0.89,0.79"
"1.4,0.85,0.77","1.3,0.85,0.49","1.6,0.71,0.63","1.5,0.82,0.59"
"2.6,0.79,0.67","2.3,0.82,0.53","4.0,0.7,0.47","2.0,0.87,0.58"
"2.3,0.74,0.61","3.6,0.87,0.5","1.8,0.75,0.63","2.3,0.74,0.63"
"2.3,0.73,0.76","3.8,0.8,0.65","1.5,0.76,0.56","3.6,0.72,0.51"
"2.6,0.72,0.52","1.1,0.71,0.7","1.1,0.76,0.53","1.0,0.76,0.63"
"3.1,0.79,0.74","1.9,0.77,0.71","2.4,0.85,0.52","2.6,0.76,0.71"
"1.5,0.82,0.78","2.4,0.82,0.79","1.7,0.79,0.66","1.4,0.88,0.59"
"1.1,0.72,0.76","1.8,0.72,0.56","3.7,0.74,0.74","1.3,0.8,0.71"
"3.8,0.81,0.46","3.5,0.83,0.52","4.0,0.71,0.76","1.5,0.72,0.76"
"1.1,0.74,0.52","1.1,0.81,0.64","2.3,0.71,0.66","3.9,0.81,0.47"
"1.4,0.76,0.56","3.9,0.7,0.51","1.0,0.88,0.72","1.7,0.84,0.67"
"3.4,0.87,0.78","1.3,0.74,0.55","2.8,0.82,0.62","3.0,0.86,0.79"
"1.3,0.79,0.77","3.1,0.9,0.8","3.6,0.86,0.57","1.5,0.77,0.52"
"3.9,0.9,0.49","1.8,0.74,0.48","2.2,0.86,0.51","3.5,0.85,0.68"
"2.2,0.85,0.69","2.3,0.73,0.49","1.6,0.83,0.75","3.6,0.72,0.56"
"1.5,0.75,0.48","2.1,0.81,0.6","3.0,0.83,0.5","1.1,0.77,0.62"
