0,1,2,3,4
"3.2,0.85,0.53","2.5,0.73,0.61","2.3,0.9,0.71","3.6,0.88,0.69","2.4,0.74,0.58"
"1.6,0.75,0.75","2.2,0.81,0.53","1.9,0.89,0.61","1.3,0.82,0.67","1.3,0.76,0.75"
"3.0,0.76,0.74","2.1,0.87,0.46","3.5,0.84,0.64","3.7,0.89,0.56","2.2,0.71,0.64"
"2.6,0.83,0.67","4.0,0.71,0.58","2.0,0.7,0.79","1.9,0.74,0.46","1.6,0.79,0.7"
"1.1,0.82,0.65","3.2,0.83,0.64","2.2,0.71,0.47","3.6,0.84,0.63","3.7,0.78,0.61"
"1.1,0.88,0.76","2.9,0.71,0.68","3.1,0.72,0.52","2.5,0.82,0.8","1.2,0.71,0.64"
"2.4,0.77,0.48","1.5,0.8,0.75","1.2,0.76,0.69","1.9,0.78,0.66","2.7,0.85,0.49"
"1.5,0.89,0.52","2.9,0.86,0.54","2.1,0.8,0.55","1.7,0.73,0.75","3.9,0.89,0.74"
"1.4,0.78,0.71","3.3,0.78,0.66","3.0,0.88,0.56","3.9,0.75,0.79","2.1,0.77,0.69"
"2.5,0.81,0.62","2.8,0.78,0.69","3.7,0.85,0.8","2.5,0.74,0.59","3.7,0.77,0.59"
"2.4,0.77,0.53","3.1,0.88,0.65","2.8,0.7,0.61","2.4,0.87,0.71","3.5,0.77,0.57"
"1.8,0.79,0.76","1.6,0.87,0.54","1.4,0.81,0.57","3.3,0.82,0.55","1.3,0.82,0.59"
"2.7,0.84,0.71","2.7,0.75,0.58","2.3,0.88,0.69","1.6,0.74,0.48","3.5,0.88,0.69"
"1.3,0.84,0.72","1.9,0.74,0.65","1.6,0.88,0.78","3.7,0.82,0.52","1.7,0.79,0.6"
"1.8,0.75,0.63","2.9,0.8,0.61","2.8,0.71,0.75","2.4,0.84,0.73","2.6,0.71,0.63"
"1.3,0.73,0.49","3.6,0.77,0.66","3.3,0.77,0.46","1.4,0.72,0.63","1.4,0.72,0.46"
"2.5,0.72,0.62","2.5,0.85,0.46","2.8,0.88,0.49","2.6,0.77,0.71","3.1,0.89,0.64"
"2.9,0.74,0.65","4.0,0.71,0.47","3.0,0.89,0.77","1.2,0.8,0.65","2.4,0.76,0.79"
"3.3,0.82,0.56","2.7,0.76,0.62","2.4,0.89,0.74","2.8,0.78,0.72","2.1,0.82,0.53"
"2.0,0.88,0.8","2.3,0.73,0.61","2.0,0.85,0.67","2.1,0.81,0.66","1.4,0.8,0.66"
"2.5,0.79,0.72","1.6,0.82,0.64","2.1,0.89,0.68","3.0,0.81,0.48","3.6,0.87,0.61"
"1.7,0.72,0.68","3.7,0.72,0.6","2.5,0.76,0.57","3.3,0.77,0.8","2.4,0.72,0.63"
"3.6,0.71,0.61","1.3,0.82,0.5","2.3,0.88,0.61","3.9,0.88,0.79","1.0,0.77,0.47"
"1.8,0.78,0.75","2.4,0.75,0.67","3.8,0.88,0.7","3.3,0.82,0.56","1.2,0.83,0.67"
"1.8,0.9,0.73","3.9,0.85,0.46","2.1,0.72,0.74","2.0,0.72,0.63","1.0,0.77,0.61"
"1.8,0.88,0.65","2.6,0.84,0.78","3.0,0.84,0.73","2.0,0.71,0.6","1.7,0.72,0.64"
"1.3,0.83,0.57","2.9,0.77,0.62","1.1,0.79,0.51","3.9,0.88,0.76","3.5,0.84,0.63"
"3.8,0.84,0.79","2.7,0.87,0.74","1.7,0.73,0.61","3.0,0.75,0.6","2.5,0.87,0.53"
"3.6,0.89,0.65","3.9,0.7,0.62","1.6,0.78,0.65","3.4,0.71,0.52","3.2,0.77,0.66"
"1.6,0.8,0.52","2.7,0.71,0.62","2.9,0.77,0.5","2.3,0.83,0.79","1.1,0.89,0.64"
"2.6,0.79,0.48","3.6,0.72,0.67","1.5,0.76,0.67","3.0,0.88,0.54","1.4,0.76,0.45"
"2.7,0.71,0.68","2.8,0.86,0.73","3.5,0.78,0.65","3.3,0.85,0.6","1.3,0.84,0.63"
"3.4,0.78,0.77","3.3,0.73,0.71","1.9,0.81,0.46","1.7,0.79,0.74","3.8,0.77,0.65"
"1.3,0.89,0.46","3.6,0.73,0.48","3.1,0.83,0.5","1.7,0.88,0.79","3.7,0.79,0.74"
"2.4,0.86,0.52","3.7,0.84,0.61","3.6,0.72,0.68","2.4,0.84,0.66","2.5,0.82,0.55"
