0,1,2
"2.4,0.84,0.78","3.8,0.8,0.54","2.9,0.82,0.46"
"1.2,0.87,0.55","1.9,0.81,0.76","2.7,0.76,0.51"
"3.3,0.73,0.67","1.1,0.9,0.62","3.2,0.74,0.51"
"3.0,0.88,0.7","3.1,0.78,0.51","1.9,0.81,0.68"
"2.9,0.75,0.46","3.8,0.78,0.62","2.1,0.88,0.46"
"3.5,0.81,0.79","3.5,0.84,0.51","2.5,0.88,0.71"
"2.4,0.82,0.67","3.0,0.8,0.46","3.3,0.87,0.7"
"2.5,0.87,0.47","1.4,0.75,0.69","1.8,0.72,0.77"
"3.2,0.72,0.59","3.6,0.87,0.47","2.0,0.82,0.52"
"2.3,0.73,0.78","3.9,0.77,0.46","2.1,0.81,0.5"
"2.1,0.9,0.47","1.9,0.83,0.49","3.0,0.88,0.53"
"2.6,0.82,0.47","2.9,0.73,0.77","1.3,0.82,0.47"
"3.3,0.88,0.74","3.7,0.89,0.66","1.3,0.8,0.78"
"2.5,0.88,0.71","2.7,0.73,0.67","1.1,0.86,0.6"
"1.7,0.74,0.5","3.5,0.76,0.57","3.3,0.75,0.55"
"3.3,0.89,0.62","1.7,0.84,0.69","2.7,0.89,0.47"
"3.1,0.79,0.63","2.7,0.76,0.53","1.5,0.84,0.77"
"2.7,0.76,0.54","1.2,0.86,0.56","1.5,0.71,0.62"
"3.5,0.81,0.49","2.1,0.7,0.76","2.1,0.72,0.5"
"3.2,0.81,0.47","3.3,0.83,0.59","2.1,0.86,0.53"
"3.0,0.81,0.65","2.1,0.76,0.58","3.9,0.76,0.68"
"2.5,0.72,0.71","1.9,0.73,0.53","2.4,0.77,0.52"
"1.4,0.82,0.59","3.0,0.7,0.67","1.9,0.86,0.69"
"3.0,0.74,0.66","1.5,0.8,0.62","2.9,0.84,0.57"
"2.2,0.79,0.51","2.3,0.84,0.52","1.8,0.71,0.6"
