0,1,2,3
"2.0,0.71,0.57","2.4,0.78,0.55","2.1,0.78,0.76","1.0,0.8,0.61"
"1.9,0.72,0.77","3.4,0.74,0.5","1.0,0.79,0.79","3.6,0.86,0.67"
"3.1,0.89,0.71","2.9,0.82,0.74","1.0,0.9,0.48","2.0,0.88,0.78"
"3.7,0.75,0.75","2.5,0.82,0.49","2.4,0.83,0.54","1.2,0.86,0.74"
"1.3,0.78,0.48","1.2,0.79,0.78","4.0,0.82,0.51","1.1,0.81,0.49"
"3.4,0.84,0.49","1.9,0.84,0.55","1.5,0.7,0.58","2.4,0.86,0.68"
"3.8,0.7,0.77","1.1,0.74,0.46","3.3,0.72,0.58","2.5,0.73,0.77"
"3.5,0.88,0.5","1.2,0.84,0.74","3.9,0.9,0.46","2.6,0.84,0.55"
"3.1,0.7,0.52","3.5,0.9,0.62","1.7,0.89,0.67","2.9,0.88,0.45"
"2.2,0.76,0.53","1.3,0.87,0.5","2.4,0.71,0.71","2.4,0.7,0.45"
"4.0,0.88,0.7","3.3,0.86,0.54","1.9,0.85,0.54","3.8,0.81,0.69"
"3.4,0.85,0.72","2.0,0.82,0.74","2.6,0.79,0.71","1.3,0.86,0.59"
"1.9,0.75,0.67","1.6,0.7,0.58","3.2,0.88,0.62","1.7,0.78,0.49"
"1.3,0.86,0.76","1.9,0.72,0.53","1.3,0.8,0.74","1.2,0.83,0.51"
"2.0,0.84,0.69","1.6,0.76,0.66","3.4,0.81,0.52","3.7,0.78,0.56"
"3.7,0.88,0.61","3.2,0.88,0.56","3.9,0.79,0.67","4.0,0.85,0.64"
"2.2,0.84,0.8","2.4,0.75,0.49","1.4,0.82,0.5","2.5,0.9,0.78"
"1.5,0.82,0.49","2.8,0.86,0.6","3.4,0.8,0.61","1.6,0.89,0.78"
"3.9,0.82,0.46","3.6,0.7,0.57","2.0,0.71,0.67","2.7,0.79,0.66"
"1.3,0.88,0.45","3.1,0.77,0.62","2.4,0.82,0.8","1.6,0.83,0.62"
"2.9,0.87,0.56","1.2,0.81,0.66","3.8,0.88,0.71","2.9,0.73,0.62"
"1.4,0.8,0.71","1.5,0.71,0.5","1.7,0.89,0.79","2.7,0.89,0.61"
"2.4,0.8,0.54","2.8,0.74,0.54","3.0,0.84,0.77","3.1,0.8,0.67"
"2.7,0.84,0.65","3.2,0.88,0.58","3.0,0.81,0.56","1.6,0.73,0.6"
"3.7,0.77,0.8","1.7,0.82,0.65","2.7,0.71,0.54","1.4,0.82,0.62"
"3.1,0.81,0.78","2.0,0.81,0.67","1.5,0.77,0.75","2.3,0.79,0.46"
"2.5,0.86,0.79","1.2,0.86,0.5","2.9,0.79,0.51","3.6,0.87,0.72"
"3.9,0.78,0.71","3.0,0.77,0.79","2.4,0.84,0.72","3.0,0.71,0.6"
"3.5,0.82,0.74","3.1,0.7,0.61","3.8,0.87,0.62","3.3,0.78,0.72"
"1.5,0.74,0.61","3.6,0.86,0.54","2.0,0.72,0.72","2.5,0.88,0.51"
