sup_cap,sup_reli,sup_flex,pla_cap,pla_reli,pla_cost,dc_cap,dc_reli,dc_cost
7878,0.82,0.6,33780,0.89,14297,23281,0.92,13417
24087,0.85,0.72,15337,0.87,11430,3129,0.94,6353
36951,0.83,0.8,34833,0.88,7163,26919,0.81,10353
13032,0.89,0.64,12071,0.87,13430,8145,0.87,9557
20629,0.88,0.64,N/A,N/A,N/A,15206,0.82,8104
21572,0.81,0.66,N/A,N/A,N/A,10205,0.88,8207
5673,0.94,0.72,N/A,N/A,N/A,N/A,N/A,N/A
18210,0.87,0.77,N/A,N/A,N/A,N/A,N/A,N/A
28919,0.89,0.66,N/A,N/A,N/A,N/A,N/A,N/A
3754,0.89,0.72,N/A,N/A,N/A,N/A,N/A,N/A
30110,0.94,0.64,N/A,N/A,N/A,N/A,N/A,N/A
29866,0.94,0.79,N/A,N/A,N/A,N/A,N/A,N/A
18766,0.91,0.63,N/A,N/A,N/A,N/A,N/A,N/A
27617,0.8,0.65,N/A,N/A,N/A,N/A,N/A,N/A
30088,0.93,0.78,N/A,N/A,N/A,N/A,N/A,N/A
2207,0.89,0.83,N/A,N/A,N/A,N/A,N/A,N/A
34117,0.91,0.83,N/A,N/A,N/A,N/A,N/A,N/A
11426,0.87,0.84,N/A,N/A,N/A,N/A,N/A,N/A
3906,0.94,0.85,N/A,N/A,N/A,N/A,N/A,N/A
16197,0.93,0.77,N/A,N/A,N/A,N/A,N/A,N/A
20904,0.88,0.81,N/A,N/A,N/A,N/A,N/A,N/A
13725,0.88,0.63,N/A,N/A,N/A,N/A,N/A,N/A
15976,0.88,0.71,N/A,N/A,N/A,N/A,N/A,N/A
11202,0.84,0.79,N/A,N/A,N/A,N/A,N/A,N/A
27584,0.9,0.66,N/A,N/A,N/A,N/A,N/A,N/A
9347,0.84,0.79,N/A,N/A,N/A,N/A,N/A,N/A
35947,0.84,0.74,N/A,N/A,N/A,N/A,N/A,N/A
36644,0.83,0.78,N/A,N/A,N/A,N/A,N/A,N/A
15371,0.83,0.69,N/A,N/A,N/A,N/A,N/A,N/A
32067,0.87,0.65,N/A,N/A,N/A,N/A,N/A,N/A
26559,0.9,0.75,N/A,N/A,N/A,N/A,N/A,N/A
9803,0.84,0.66,N/A,N/A,N/A,N/A,N/A,N/A
22659,0.92,0.66,N/A,N/A,N/A,N/A,N/A,N/A
29753,0.9,0.64,N/A,N/A,N/A,N/A,N/A,N/A
13785,0.84,0.81,N/A,N/A,N/A,N/A,N/A,N/A
