sup_cap,sup_reli,sup_flex,pla_cap,pla_reli,pla_cost,dc_cap,dc_reli,dc_cost
4893,0.84,0.8,2646,0.88,11509,17042,0.89,8464
25331,0.81,0.75,5665,0.87,7743,7687,0.95,8456
6257,0.89,0.62,26572,0.81,13908,27425,0.87,8342
39598,0.9,0.67,N/A,N/A,N/A,3383,0.82,10379
23787,0.87,0.83,N/A,N/A,N/A,5355,0.94,6267
29927,0.82,0.69,N/A,N/A,N/A,N/A,N/A,N/A
2900,0.92,0.73,N/A,N/A,N/A,N/A,N/A,N/A
24561,0.8,0.61,N/A,N/A,N/A,N/A,N/A,N/A
11082,0.85,0.77,N/A,N/A,N/A,N/A,N/A,N/A
7403,0.87,0.62,N/A,N/A,N/A,N/A,N/A,N/A
4609,0.9,0.64,N/A,N/A,N/A,N/A,N/A,N/A
22693,0.87,0.67,N/A,N/A,N/A,N/A,N/A,N/A
3576,0.86,0.66,N/A,N/A,N/A,N/A,N/A,N/A
21237,0.87,0.83,N/A,N/A,N/A,N/A,N/A,N/A
32793,0.84,0.78,N/A,N/A,N/A,N/A,N/A,N/A
